Year	Average Sun Spots

1945	32.3
1946	32.3
1947	99.9
1948	170.9
1949	166.6
1950	174.1
1951	103.7
1952	64.4
1953	30.5
1954	12.5
1955	3.4
1956	34.6
1957	125.9
1958	168.3
1959	172.1
1960	145.0
1961	102.1
1962	44.7
1963	29.8
1964	22.2
1965	7.4
1966	12.1
1967	38.7
1968	86.2
1969	97.5
1970	104.6
1971	107.4
1972	66.5
1973	67.3
1974	36.7
1975	32.3
1976	14.4
1977	11.6
1978	26.0
1979	86.9
1980	145.8
1981	149.1
1982	146.5
1983	115.1
1984	64.6
1985	43.6
1986	16.2
1987	11.1
1988	28.8
1989	100.7
1990	162.4
1991	144.9
1992	144.4
1993	93.7
1994	54.7
1995	31.0
1996	18.3
1997	8.4
1998	20.3
1999	61.6
2000	96.0
2001	123.3
2002	123.2
2003	109.5
2004	65.8
2005	43.3
2006	31.0
2007	15.3
